Epoch,gen_loss,disc_loss
1,12.318287,8.26E-05
2,13.018751,5.40E-05
3,12.557871,9.99E-05
4,12.96528,8.15E-05
5,12.989309,2.49E-05
6,13.542712,2.08E-05
7,13.874381,1.86E-05
8,14.167266,1.46E-05
9,14.191976,1.29E-05
10,14.199726,1.41E-05
11,15.809356,0.031192496
12,13.211098,0.002221585
13,13.552925,0.000487627
14,13.595594,0.000428217
15,14.330877,0.000158791
16,14.295746,0.000123573
17,14.508126,0.000100829
18,14.61446,0.000188267
19,14.780276,0.000220781
20,15.367513,4.74E-05
21,15.38293,0.000113161
22,15.769837,2.44E-05
23,15.6550665,5.08E-05
24,15.57093,2.50E-05
25,16.057571,3.49E-05
26,16.253426,3.08E-05
27,16.066294,2.05E-05
28,16.923384,2.87E-05
29,16.791334,2.66E-05
30,16.692705,0.000107283
31,17.28858,1.60E-05
32,17.278395,1.10E-05
33,17.311728,9.72E-06
34,17.799477,7.35E-06
35,18.118101,5.12E-06
36,17.875116,1.12E-05
37,18.24841,2.71E-06
38,18.330538,7.16E-06
39,19.08436,2.60E-06
40,19.064905,6.99E-06
41,19.094654,2.26E-06
42,18.786873,4.55E-06
43,18.850203,8.66E-06
44,18.625902,0.005443848
45,16.333235,0.001677168
46,15.092085,0.000114864
47,15.460751,5.97E-05
48,16.285284,1.01E-05
49,16.24213,2.39E-05
50,16.210844,6.49E-05
